------------------------------------------------------ 
:: Load Love Numbers (Load-Deformation Coefficients) 
:: Computed at 05:51AM on August 19, 2022
------------------------------------------------------ 
:: Material Parameters 
Planet-Radius (m) | Planet-Mass (kg) | Lambda-Surface (Pa) | Mu-Surface (Pa) | Gravity-Surface (m/s^2) 
6371000.0 5.973244410589292e+24 34216026218.044174 26623910437.00864 9.818634933837371
------------------------------------------------------ 
:: Asymptotic Love Numbers 
hp     |     hpp     |     nlp     |     nlpp     |     nkp     |     nkpp 
-6.208751859010017 6.152341551250569 1.88993805916064 -0.25281039086602725 -2.6824947170971263 8.041777290864731
------------------------------------------------------ 
******************   Love Numbers   ****************** 
n   |   h   |   nl   |   nk | h_asymptotic | nl_asymptotic | nk_asymptotic 
   1940   -0.1894488288   -0.1225832938 -1920.1963727303   -6.2055805489    1.8898077445   -2.6783494711
   1941   -0.1890772464   -0.1223657234 -1921.2329547629   -6.2055821828    1.8898078117   -2.6783516067
   1942   -0.1887063549   -0.1221484969 -1922.2694744716   -6.2055838150    1.8898078787   -2.6783537401
   1943   -0.1883361531   -0.1219316140 -1923.3059319470   -6.2055854454    1.8898079457   -2.6783558713
   1944   -0.1879666398   -0.1217150741 -1924.3423272790   -6.2055870743    1.8898080127   -2.6783580004
   1945   -0.1875978138   -0.1214988768 -1925.3786605581   -6.2055887014    1.8898080795   -2.6783601272
   1946   -0.1872296742   -0.1212830219 -1926.4149318741   -6.2055903269    1.8898081463   -2.6783622519
   1947   -0.1868622196   -0.1210675087 -1927.4511413173   -6.2055919507    1.8898082130   -2.6783643744
   1948   -0.1864954489   -0.1208523371 -1928.4872889772   -6.2055935728    1.8898082797   -2.6783664947
   1949   -0.1861293611   -0.1206375064 -1929.5233749441   -6.2055951933    1.8898083463   -2.6783686128
   1950   -0.1857639548   -0.1204230164 -1930.5593993074   -6.2055968121    1.8898084128   -2.6783707287
   1951   -0.1853992291   -0.1202088667 -1931.5953621570   -6.2055984292    1.8898084793   -2.6783728425
   1952   -0.1850351827   -0.1199950567 -1932.6312635824   -6.2056000447    1.8898085456   -2.6783749541
   1953   -0.1846718146   -0.1197815862 -1933.6671036731   -6.2056016585    1.8898086120   -2.6783770636
   1954   -0.1843091235   -0.1195684546 -1934.7028825185   -6.2056032707    1.8898086782   -2.6783791709
   1955   -0.1839471083   -0.1193556616 -1935.7386002081   -6.2056048812    1.8898087444   -2.6783812760
   1956   -0.1835857679   -0.1191432069 -1936.7742568312   -6.2056064901    1.8898088105   -2.6783833790
   1957   -0.1832251012   -0.1189310899 -1937.8098524767   -6.2056080974    1.8898088765   -2.6783854799
   1958   -0.1828651070   -0.1187193103 -1938.8453872341   -6.2056097030    1.8898089425   -2.6783875785
